 File has been used for this event: product_2017-11-01_121509.csv
 Type of the imported file: csv
 Revision of the which is used: 2
 Mode of event: Insert
 Total no of records: 193
 Rows handled on each iterations (Based on your server configuration): 1
 File used to import data into: product (product)
[2017-11-01 20:40:20] Message: Inserted product ID: 1229,  Status: publish 
[2017-11-01 20:40:24] Message: Inserted product ID: 1232,  Status: publish 
[2017-11-01 20:40:26] Message: Inserted product ID: 1233,  Status: publish 
[2017-11-01 20:40:27] Message: Inserted product ID: 1234,  Status: publish 
[2017-11-01 20:40:30] Message: Inserted product ID: 1237,  Status: publish 
[2017-11-01 20:40:33] Message: Inserted product ID: 1240,  Status: publish 
[2017-11-01 20:40:35] Message: Inserted product ID: 1241,  Status: publish 
[2017-11-01 20:40:36] Message: Inserted product ID: 1242,  Status: publish 
[2017-11-01 20:40:38] Message: Inserted product ID: 1243,  Status: publish 
[2017-11-01 20:40:40] Message: Inserted product ID: 1246,  Status: publish 
[2017-11-01 20:40:43] Message: Inserted product ID: 1250,  Status: publish 
[2017-11-01 20:40:46] Message: Inserted product ID: 1251,  Status: publish 
[2017-11-01 20:40:47] Message: Inserted product ID: 1252,  Status: publish 
[2017-11-01 20:40:50] Message: Inserted product ID: 1255,  Status: publish 
[2017-11-01 20:40:53] Message: Inserted product ID: 1258,  Status: publish 
[2017-11-01 20:40:55] Message: Inserted product ID: 1259,  Status: publish 
[2017-11-01 20:40:56] Message: Inserted product ID: 1260,  Status: publish 
[2017-11-01 20:40:57] Message: Inserted product ID: 1261,  Status: publish 
[2017-11-01 20:41:00] Message: Inserted product ID: 1264,  Status: publish 
[2017-11-01 20:41:03] Message: Inserted product ID: 1268,  Status: publish 
[2017-11-01 20:41:06] Message: Inserted product ID: 1269,  Status: publish 
[2017-11-01 20:41:07] Message: Inserted product ID: 1270,  Status: publish 
[2017-11-01 20:41:10] Message: Inserted product ID: 1273,  Status: publish 
[2017-11-01 20:41:12] Message: Inserted product ID: 1276,  Status: publish 
[2017-11-01 20:41:15] Message: Inserted product ID: 1277,  Status: publish 
[2017-11-01 20:41:16] Message: Inserted product ID: 1278,  Status: publish 
[2017-11-01 20:41:18] Message: Inserted product ID: 1279,  Status: publish 
[2017-11-01 20:41:20] Message: Inserted product ID: 1282,  Status: publish 
[2017-11-01 20:41:23] Message: Inserted product ID: 1286,  Status: publish 
[2017-11-01 20:41:26] Message: Inserted product ID: 1287,  Status: publish 
[2017-11-01 20:41:27] Message: Inserted product ID: 1288,  Status: publish 
[2017-11-01 20:41:30] Message: Inserted product ID: 1291,  Status: publish 
[2017-11-01 20:41:33] Message: Inserted product ID: 1294,  Status: publish 
[2017-11-01 20:41:35] Message: Inserted product ID: 1295,  Status: publish 
[2017-11-01 20:41:36] Message: Inserted product ID: 1296,  Status: publish 
[2017-11-01 20:41:40] Message: Inserted product ID: 1299,  Status: publish 
[2017-11-01 20:41:43] Message: Inserted product ID: 1302,  Status: publish 
[2017-11-01 20:41:47] Message: Inserted product ID: 1303,  Status: publish 
[2017-11-01 20:41:49] Message: Inserted product ID: 1305,  Status: publish 
[2017-11-01 20:41:51] Message: Inserted product ID: 1308,  Status: publish 
[2017-11-01 20:41:52] Message: Inserted product ID: 1309,  Status: publish 
[2017-11-01 20:41:54] Message: Inserted product ID: 1310,  Status: publish 
[2017-11-01 20:41:55] Message: Inserted product ID: 1311,  Status: publish 
[2017-11-01 20:41:57] Message: Inserted product ID: 1312,  Status: publish 
[2017-11-01 20:42:00] Message: Inserted product ID: 1315,  Status: publish 
[2017-11-01 20:42:04] Message: Inserted product ID: 1320,  Status: publish 
[2017-11-01 20:42:06] Message: Inserted product ID: 1321,  Status: publish 
[2017-11-01 20:42:07] Message: Inserted product ID: 1322,  Status: publish 
